c:\xampp\mysql\bin\mysqld.exe, Version: 10.4.6-MariaDB (mariadb.org binary distribution). started with:
TCP Port: 3306, Named Pipe: C:/xampp/mysql/mysql.sock
Time		    Id Command	Argument
191012 21:07:59	    10 Query	create database simbad_a
191012 21:08:05	    10 Query	SELECT DATABASE()
		    10 Init DB	simbad_a
191012 21:09:25	    10 Query	create table table_mahasiswa(id_mhs INT PRIMARY KEY AUTO_INCREMENT, nim_mhs VARCHAR(10) UNIQUE NOT NULL, nama_mhs VARCHAR(100) NOT NULL)
191012 21:13:06	    10 Query	ALTER TABLE table_mahasiswa ADD status_mhs ENUM("Aktif", "Lulus")
191012 21:15:32	    10 Query	create table table_matakuliah(id_mk INT PRIMARY KEY AUTO_INCREMENT)
191012 21:18:18	    10 Query	ALTER TABLE table_matakuliah ADD kode_mk VARCHAR(10) NOT NULL
191012 21:18:47	    10 Query	ALTER TABLE table_matakuliah ADD nama_mk VARCHAR(32) NOT NULL
191012 21:19:13	    10 Query	ALTER TABLE table_matakuliah ADD sks_mk ENUM("2", "3", "4")
191012 21:21:37	    10 Query	ALTER TABLE table_mahasiswa RENAME TO tb_mahasiswa
191012 21:21:59	    10 Query	ALTER TABLE table_matakuliah RENAME TO tb_matakuliah
191012 21:25:42	    10 Query	ALTER TABLE tb_mahasiswa CHANGE id_mhs id INT
191012 21:26:09	    10 Query	DESC tb_mahasiswa
191012 21:26:39	    10 Query	DESC tb_matakuliah
191012 21:27:18	    10 Query	ALTER TABLE tb_mahasiswa CHANGE nim_mhs nim VARCHAR(10)
191012 21:27:34	    10 Query	ALTER TABLE tb_mahasiswa CHANGE nama_mhs nama VARCHAR(100)
191012 21:28:27	    10 Query	ALTER TABLE tb_mahasiswa CHANGE status_mhs status ENUM("Aktif", "Lulus")
191012 21:29:44	    10 Query	ALTER TABLE tb_matakuliah CHANGE id_mk id INT
191012 21:30:05	    10 Query	ALTER TABLE tb_matakuliah CHANGE kode_mk kode VARCHAR(10)
191012 21:30:25	    10 Query	ALTER TABLE tb_matakuliah CHANGE nama_mk nama VARCHAR(32)
191012 21:31:08	    10 Query	ALTER TABLE tb_matakuliah CHANGE sks_mk sks ENUM("2", "3", "4")
191012 21:31:33	    10 Query	DESC tb_mahasiswa
191012 21:31:57	    10 Query	DESC tb_matakuliah
191012 21:33:24	    10 Quit	
